id,category,BLEU,ROUGE_L,BERTScore,Grammar,Length,LocalScore
1,HR Query,0.2135,0.5098,0.9356,1.0,0.9388,68.51
2,HR Query,0.0121,0.3158,0.8868,1.0,0.5797,53.84
3,HR Query,0.0182,0.2326,0.8717,1.0,0.64,51.8
4,HR Query,0.0188,0.2222,0.8815,1.0,0.4122,49.72
5,HR Query,0.021,0.2137,0.9019,1.0,0.8676,55.03
6,HR Query,0.0389,0.3043,0.8896,1.0,0.5431,53.85
7,HR Query,0.3353,0.5926,0.9416,1.0,0.9245,73.14
8,HR Query,0.0477,0.3026,0.9069,1.0,0.7738,57.07
9,HR Query,0.0083,0.2449,0.8792,1.0,0.5366,51.22
10,HR Query,0.0204,0.22,0.8843,1.0,0.6496,52.2
11,HR Query,0.2211,0.4066,0.9202,1.0,0.98,65.79
12,HR Query,0.2161,0.3686,0.9104,1.0,0.9281,63.79
13,HR Query,0.116,0.2894,0.8924,1.0,0.5793,55.51
14,HR Query,0.2537,0.4697,0.9267,1.0,0.9572,68.09
15,HR Query,0.2289,0.4409,0.9228,1.0,0.8557,65.68
16,HR Query,0.1626,0.3352,0.9153,1.0,0.852,61.34
17,HR Query,0.2035,0.4314,0.9224,1.0,0.9143,65.5
18,HR Query,0.1628,0.3627,0.9148,1.0,0.9091,62.58
19,HR Query,0.1434,0.3077,0.9024,1.0,0.8872,60.04
20,HR Query,0.1164,0.2479,0.8865,1.0,0.9573,57.99
21,Feature Request,0.184,0.4433,0.9243,1.0,0.7339,63.69
22,Feature Request,0.2955,0.4906,0.9326,1.0,0.8142,68.29
24,Feature Request,0.1724,0.4174,0.9087,1.0,0.8512,63.28
25,Feature Request,0.1481,0.3346,0.9135,1.0,0.5625,58.06
26,Feature Request,0.1111,0.3649,0.9184,1.0,0.689,59.56
27,Feature Request,0.1611,0.3426,0.9177,1.0,0.6597,59.68
28,Feature Request,0.1286,0.3617,0.9141,1.0,0.8176,60.92
29,Feature Request,0.1194,0.3071,0.909,1.0,0.7107,58.08
30,Feature Request,0.1725,0.3466,0.9151,1.0,0.8231,61.52
31,Customer Complaint,0.1612,0.3119,0.8886,1.0,0.8087,59.1
32,Customer Complaint,0.1268,0.392,0.9018,1.0,0.6095,59.01
34,Customer Complaint,0.0755,0.269,0.8922,1.0,1.0,58.38
